index,x,y
0,99.99999845116284,199.9999988526056
146,95.41447840191562,202.1021110273955
255,90.41316701345636,202.8030994957624
361,85.36925085862026,203.02373017076542
472,80.376421302351,203.62671055291327
584,75.3805447658372,203.8760297916724
701,70.40527007075687,204.4207968199227
823,65.38261579526201,204.7334353768626
941,60.368953911117075,205.16798121310256
1056,55.348417359796514,205.51885532541326
1166,50.33204933253211,205.92542743780461
1278,45.31243252199283,206.28290527282303
1387,40.323152261805035,206.68566525427048
1502,35.328695007813394,207.0187957009844
1610,30.33755615154189,207.3993912014268
1724,25.347527841899307,207.79367508328926
1855,20.358369658295715,208.1830617096944
2780,23.229491738710976,204.06981789693282
3352,24.47035706086129,199.2179699289216
3755,24.22521989422819,194.22154528850882
4503,24.484332187558607,189.21467523067003
4933,24.17844228430721,184.21987650991935
5438,24.27451045983335,179.21774863095698
6063,24.227398183680776,174.21225540572192
6421,23.958432752224724,169.21406234241056
6757,23.830384098058232,164.21151369345557
7158,23.42085469244398,159.2044642734619
7517,22.01904445132635,154.39439429030767
8079,20.99469897495777,149.48210856236767
8622,19.662093070620045,144.66071122081553
9286,18.354285865077998,139.8331540811323
9520,15.22396068958841,135.91925377271184
9886,11.863469297023613,132.20569521639055
10270,8.491111790514566,128.51056220489744
10664,5.100445630138552,124.7833007122257
11039,1.704428211026169,121.04350157744017
11378,-2.4412709468358855,118.23553233339601
11577,-7.478713698104968,118.39874763270097
11758,-12.261937474593594,119.85801422056488
11898,-17.071225044735826,121.46702905388122
12007,-21.77865447250079,123.26452715995225
12096,-26.41744906868621,125.13271243818735
12221,-31.001444559749757,127.13826557600544
12826,-35.669541717386494,128.95894890163538
13395,-40.28656195181529,130.89254408076135
13952,-44.52853046725363,133.56368625642665
14206,-47.88395137734463,137.29021006863536
14405,-50.62873841123729,141.48107381387769
15182,-53.41447891091363,145.6428464748568
15855,-56.146902113213514,149.8401948410957
16488,-58.80075684913021,154.08146145751294
17351,-60.841883754455864,158.68419746875537
17890,-62.27903418396045,163.51049505915768
19938,-66.22843842559354,166.57958225616193
20010,-71.27578521753424,167.14058963575553
20074,-76.02465238529578,168.88337544654144
20147,-80.48691409521632,171.19239097603122
20263,-84.25789821351378,174.52702618150602
24756,-87.98250600876094,177.918640074876
24838,-91.70247367450736,181.32951430186864
24921,-95.3857065967108,184.7116786317053
25005,-99.10240978033937,188.1255033077104
25084,-102.77037357422176,191.53825294671873
25147,-106.33869269938555,195.08039343278654
25215,-109.68725700947118,198.8184557780076
25305,-112.4788717565367,202.9679419155749
25381,-114.81873454457372,207.43153916742335
25449,-116.48011599326031,212.1570355027103
25551,-118.11860720868327,216.91557040844282
25949,-119.7530262319143,221.6556423266817
26132,-121.59318781999377,226.31123928997317
26334,-126.512721841739,227.20543885299037
26425,-130.8498389527926,224.65104549565888
26518,-135.2269563815221,222.1675599308577
26618,-139.68541533691382,219.8618237833092
