index,x,y,orientation
0,559.9999988526057,380.00000154883713,1.568666430715523e-07
215,555.0665803654416,379.0991902216944,3.092579653143156
876,550.5478135469466,376.91834190639855,-2.571226638529897
1019,546.1121813428679,374.6083868396552,-2.781489218097257
1096,541.3314322113586,373.09338141748873,-2.8690573803564834
1343,536.7006304913594,371.0918410698527,-2.283987613658735
1742,532.8561426194466,367.8918766774677,-2.6122259352332606
2049,529.0018214282311,364.6716875954514,-2.327360773011044
2318,525.1407589231934,361.469888702544,-2.648640699151699
2500,521.2708127668647,358.27358534094145,-2.4332342445845434
2581,517.4033906216582,355.0118274545133,-2.4426443756012737
2659,513.5308699480191,351.75620224342344,-2.442658426417344
2738,509.6892282054476,348.52728680317296,-2.442725880672542
2822,505.8150844316024,345.2736396474755,-2.443150808270085
2911,501.9702232687199,342.04855319648976,-2.446132267309125
3338,497.3977383283111,339.97697809807374,-2.8028198012128005
4113,492.5343566091881,338.8071345994227,-3.041306256921397
4645,487.6653237046459,337.5865300264269,-2.826955412603824
5189,482.7695858134202,336.43994315892905,-2.9820021857971315
6006,477.8690896660133,335.29693269476456,-3.0464903130136785
6917,473.0038897636,334.10980077933607,-2.9881360009210343
7565,468.1098703654319,333.0385028875574,-2.8257041025025984
8288,463.2225561836549,331.7271163551338,-2.8413436854440857
9002,458.25572281406846,330.85494262178844,-2.888904780459589
9601,453.2681686817298,330.47062512149085,-3.123906631994729
10067,448.27985270052017,330.10391135320987,3.092409726159409
10431,443.2526313569456,329.7084571882593,-2.925781037115565
10707,438.2497551607316,329.4191065161192,3.0341983917506
10916,433.2470966875821,329.4727353549098,3.096487960726157
11040,428.2300679360745,329.78656827291104,3.0281343597797536
11177,423.2099446446864,329.9739377276606,3.024983957655862
11290,418.1590399377971,330.36570884884173,2.899772127276473
11393,413.08786207057017,330.6292349615123,3.104048633407444
11471,408.0737430205188,330.8553654976907,3.0945485770350896
11549,403.0612091363337,331.114221793323,3.0791959425366766
11631,398.0510740869474,331.772429434233,2.8752745328476665
11710,393.3545954027152,333.7454184769622,2.6786028038639
11791,388.86357286010445,336.07604248266694,2.6471494736889905
11873,384.4955937526463,338.62778803544643,2.5537782023890103
12027,383.0106867061848,343.44242896203434,0.8206496308143997
13114,378.2300640555848,344.94022683934344,-2.964436649551655
13196,373.24489756271146,344.0726706952902,-2.973532335789927
13281,368.2525969415272,343.24765551767297,-2.9817996643605467
13366,363.2944792753704,342.46732247858705,-2.9897654400888505
13456,358.1878563561739,342.2036005448075,2.9807790621469774
13541,353.2126810520318,343.0508240684054,2.9686763021750298
13629,348.26708780946547,343.905760932586,2.9718228746442565
13708,343.2789568302917,344.7542770622494,2.9741579527825897
13787,338.29003030690654,345.59866088705223,2.971902328229084
13869,333.31245294782127,346.5080238056248,2.9411460000264174
13956,328.5196620605926,347.94055139710446,2.694019761184004
14043,324.06918719175985,350.25621082898186,2.659600664788317
14124,319.6109491447544,352.56124085609605,2.6687102213017475
14204,315.09696203964535,354.8469126055646,2.6772859321527345
14287,310.59837077823227,357.0721285686003,2.687585591579533
14371,306.0755153151663,359.2475656063731,2.6991431580630203
14451,301.49125718860523,361.38874731730846,2.709933044096726
14530,296.9233085001212,363.4679188364111,2.718495089912893
14618,292.34041900273405,365.5140120579656,2.7247852880399384
14698,287.74878391661343,367.5405144296696,2.7264703288006595
14782,283.151882013718,369.5549310752455,2.7323055211721714
14864,278.5465753635924,371.5501789279452,2.733246372513383
14945,273.93301810870645,373.5261049460794,2.74047441169336
15026,269.3200507342666,375.5038294690051,2.723915343060112
15108,264.8435607069157,377.7982990905131,2.6011764327102216
15257,260.6954741255934,380.606723567989,2.5236042939524124
15589,256.5251594774151,383.3827711489701,2.597616264447168
16522,252.03624643972344,385.58507405867294,2.678459471460747
17371,247.09002424056467,384.67159582602704,-2.890445361969053
17493,242.2316517531548,383.357730057731,-2.9175756139573346
17605,237.2627474371194,382.56648553158834,-3.025511433069717
17723,232.26457895277596,381.97669123239433,-3.021318218745494
17842,227.2835286513503,381.48078942169855,-3.065407946522017
17959,222.2902983914473,381.1280715051547,-3.0747064760231457
18079,217.29349764938723,380.82791157779417,-3.08188732091045
18198,212.2431166954939,380.51324747039456,-3.088887183557918
18318,207.24276870418043,380.28114137215937,-3.09361900254042
18430,202.2431937920853,380.0335429810455,-3.0987571538064342
