index,x,y,orientation
0,-40.00000048072751,-39.99999989942436,0.790000136484521
1,-39.99998755044039,-39.99998812291433,0.7900014764858152
2,-39.9999555222964,-39.99995760705548,0.7900043550010907
3,-39.99992155696266,-39.99992517300283,0.7900098972571222
4,-39.99990828280376,-39.99991385122404,0.7900177272338027
5,-39.999916008845275,-39.99992374129442,0.790026007460947
6,-39.99994192099832,-39.99994987538508,0.790032547980367
7,-39.999954479653724,-39.99996192799523,0.7900368353146064
8,-39.99994608728377,-39.9999538950162,0.7900404604355833
9,-39.99992263207799,-39.99992945217959,0.7900449889944923
10,-39.999912338816614,-39.99991809926149,0.7900509990316932
11,-39.999922015293215,-39.99992703688826,0.7900575245193361
12,-39.999931723935426,-39.99993194973024,0.7900616504719093
13,-39.99992294421605,-39.99992090288887,0.7900655210786729
14,-39.99991601074078,-39.99991586726435,0.7900716850614495
15,-39.99991887145918,-39.99991751859071,0.7900770957255884
16,-39.99991656720901,-39.99991576988843,0.7900827455533629
17,-39.99991298426995,-39.999912541232455,0.7900864911739878
18,-39.99991096705931,-39.99991009136255,0.7900900329971061
19,-39.99990979177475,-39.999908695480975,0.7900955876711594
20,-39.999907641997034,-39.99990699099806,0.7901012255663113
21,-39.99990468119825,-39.999903909580276,0.79010673373404
22,-39.99990232467352,-39.999901367258985,0.7901122697796834
23,-39.99990033932412,-39.999899360255654,0.7901178417857858
24,-39.9998978051937,-39.99989694794288,0.7901234375163128
25,-39.99989533193411,-39.99989445067716,0.7901289937428297
26,-39.999893093027765,-39.999892133010555,0.790134532079991
27,-39.99989078571567,-39.999889661264014,0.7901400400417721
28,-39.999888211579034,-39.99988727190039,0.7901456564268403
29,-39.99988581868805,-39.99988489808805,0.7901512317323143
30,-39.999883569086066,-39.999882572453686,0.7901567727340892
31,-39.999882145480214,-39.99988092321128,0.7901604090141243
32,-39.99987966908482,-39.999878489669065,0.7901659839397732
33,-39.99987729824303,-39.99987610760682,0.7901715411438665
34,-39.99987496640586,-39.99987382045373,0.7901771234537116
35,-39.99987335301892,-39.99987216692779,0.7901808228677057
36,-39.99987182079782,-39.99987058226097,0.7901845142621987
37,-39.99987025641712,-39.99986894542295,0.7901881980932961
38,-39.9998687318909,-39.99986739123755,0.7901919013908819
39,-39.99986708991432,-39.999865799572454,0.7901956335556839
40,-39.99986551302621,-39.99986426835924,0.790199359002798
41,-39.9998638997899,-39.99986263196626,0.7902030645603141
42,-39.99986316853598,-39.99986188461221,0.7902049134964014
43,-39.9998608182261,-39.99985941220883,0.7902104408223016
44,-39.99985836872033,-39.99985705171685,0.7902160439676084
45,-39.999856830309,-39.99985553054239,0.7902197620571357
46,-39.999855288663184,-39.999853853843376,0.7902234365394619
47,-39.99985296515085,-39.99985149206425,0.7902289926949915
48,-39.99985050455868,-39.99984917440931,0.7902346119891752
49,-39.99984894069504,-39.99984749405533,0.7902382928792775
50,-39.99984744379759,-39.99984586482461,0.790241959095452
51,-39.99984506210729,-39.99984341349419,0.7902475131993146
52,-39.99984267527417,-39.99984119454306,0.790253142831702
53,-39.999840276907484,-39.9998387740953,0.79025870912607
54,-39.999838675736946,-39.99983707009687,0.7902623943356718
55,-39.999836435557256,-39.999834666926134,0.7902679150789105
56,-39.999833900507255,-39.99983251207883,0.7902736166541515
57,-39.99983230360943,-39.99983082627517,0.7902773154765549
58,-39.999830886738344,-39.99982920341773,0.7902809675637875
59,-39.999829314056875,-39.99982750847038,0.7902846507682372
60,-39.99982775564727,-39.99982602199615,0.790288384336888
61,-39.9998260949384,-39.999824414280084,0.7902921256652881
62,-39.999824548596074,-39.999822881366725,0.7902958497407968
63,-39.99982222716232,-39.99982042942752,0.7903013876020277
64,-39.99981989815698,-39.99981790439564,0.7903069024128226
65,-39.999817433676384,-39.999815730230054,0.7903125777048227
66,-39.99981497298331,-39.99981333647435,0.7903181903395144
67,-39.99981282251926,-39.99981080714189,0.7903236160508896
68,-39.99981121447119,-39.999809209582246,0.7903273477577929
69,-39.99980953320596,-39.999807799555256,0.7903311709039661
70,-39.99980785833988,-39.99980616006807,0.7903349174252139
71,-39.99980567309976,-39.99980363023589,0.790340393268356
72,-39.99980417706479,-39.99980203404401,0.7903440842157256
73,-39.99980156399869,-39.999799806599476,0.7903498029027138
74,-39.99980006092063,-39.99979824599542,0.7903535079827538
75,-39.99979782068889,-39.999795700789136,0.79035900225726
76,-39.99979630705436,-39.99979412375911,0.7903627074391046
77,-39.9997953901696,-39.99979333415162,0.7903646128754945
78,-39.99979366326652,-39.99979192765645,0.7903684456523496
79,-39.999792019152636,-39.999790262121444,0.7903721743770228
80,-39.99979002738594,-39.999787742859795,0.7903775910732335
81,-39.99978758111746,-39.99978542858455,0.7903832198620254
82,-39.99978513519167,-39.999782975003285,0.790388808678221
83,-39.99978281449509,-39.99978053044216,0.7903943545198368
84,-39.99978130874337,-39.99977898466501,0.790398071038503
85,-39.99977967951137,-39.99977742402119,0.7904018194931534
86,-39.99977727609307,-39.99977513334894,0.7904074532522303
87,-39.99977568013508,-39.99977344109058,0.7904111575697415
88,-39.999774173206184,-39.99977188474576,0.7904148650950453
89,-39.99977258140367,-39.99977023584991,0.7904185806529934
90,-39.99977107497942,-39.99976869544249,0.7904222966898178
91,-39.999768613316824,-39.9997662681734,0.7904279081474307
92,-39.9997670476875,-39.9997647121528,0.7904316419215949
93,-39.999765488453825,-39.999763096870325,0.7904353604119498
94,-39.99976391383978,-39.99976152573506,0.7904390896658944
95,-39.99976157955667,-39.99975913901637,0.7904446670584306
96,-39.99975923083419,-39.999756720631176,0.7904502430672605
97,-39.99975680938422,-39.99975433103068,0.790455862955734
98,-39.99975526627216,-39.99975280541178,0.7904595983541197
99,-39.99975360799716,-39.99975114662368,0.7904633382625832
100,-39.999752117250516,-39.999749620710155,0.7904670541836696
101,-39.99974981393046,-39.99974712252864,0.7904726023468746
102,-39.99974804658869,-39.99974565936145,0.7904764394719325
103,-39.99974634661009,-39.99974415739971,0.7904802457737041
104,-39.999744905393655,-39.99974246172777,0.79048391260769
105,-39.99974418357913,-39.99974157993641,0.790485732890396
106,-39.99974273242577,-39.99973996021444,0.7904894104429226
107,-39.99974026967506,-39.99973758364087,0.790495038016691
108,-39.999737843213,-39.99973527197745,0.7905006839938283
109,-39.999736309127755,-39.99973366920598,0.7905044002693977
110,-39.99973479155267,-39.99973199674704,0.7905080866930665
111,-39.999733265031004,-39.99973037124825,0.7905117867367676
112,-39.99973076373648,-39.99972811736818,0.7905174818013002
113,-39.9997290869832,-39.99972660941881,0.7905212795478013
114,-39.99972686914069,-39.99972404038276,0.7905267852436714
115,-39.9997254291116,-39.99972246624095,0.7905304810861592
116,-39.999722871671146,-39.99972016908151,0.7905361715269392
117,-39.999721372559506,-39.99971855337445,0.7905398504270307
118,-39.99971985439684,-39.99971683680243,0.7905435204768375
119,-39.99971822771664,-39.99971537498855,0.7905473294015909
120,-39.999716511388705,-39.99971382417671,0.7905511353605247
121,-39.99971428024317,-39.999711298020195,0.7905566631518148
122,-39.99971281881654,-39.999709667494706,0.7905603492787319
123,-39.9997111651198,-39.999708142761456,0.7905641377332664
124,-39.99970944553435,-39.99970663071094,0.7905679549924706
125,-39.99970717238197,-39.99970421232949,0.7905735222064545
126,-39.99970491576082,-39.99970174703149,0.7905790427442667
127,-39.999702373543364,-39.99969948849173,0.7905847671358547
128,-39.99970086953979,-39.999697874176555,0.7905884886890888
129,-39.99969935315088,-39.999696201420896,0.7905921841792724
130,-39.99969783756244,-39.99969463932822,0.7905959180121744
131,-39.99969618202947,-39.9996930062207,0.7905996733545451
132,-39.99969463390052,-39.99969145178079,0.7906034145708716
133,-39.99969304164564,-39.999689808225234,0.7906071430065751
134,-39.99969152162139,-39.99968827784324,0.790610887343254
135,-39.99968988840497,-39.999686621753916,0.790614630560879
136,-39.999688313238046,-39.99968509790027,0.7906183916017261
137,-39.99968667365071,-39.999683462922654,0.7906221449826674
138,-39.99968594158463,-39.999682727533425,0.7906240154301305
139,-39.9996851574927,-39.99968192082231,0.7906258805006239
