index,x,y
0,-180.00000154883713,259.9999988526057
215,-179.0991902216944,255.0665803654416
876,-176.91834190639855,250.5478135469466
1019,-174.60838683965522,246.11218134286787
1096,-173.09338141748873,241.33143221135856
1343,-171.0918410698527,236.70063049135945
1742,-167.89187667746768,232.8561426194466
2049,-164.67168759545137,229.0018214282311
2318,-161.46988870254398,225.1407589231934
2500,-158.27358534094145,221.27081276686465
2581,-155.0118274545133,217.40339062165822
2659,-151.75620224342344,213.53086994801913
2738,-148.52728680317296,209.6892282054476
2822,-145.27363964747548,205.81508443160237
2911,-142.04855319648976,201.9702232687199
3338,-139.97697809807374,197.3977383283111
4113,-138.80713459942268,192.53435660918808
4645,-137.58653002642689,187.6653237046459
5189,-136.43994315892905,182.76958581342018
6006,-135.29693269476456,177.86908966601328
6917,-134.10980077933607,173.0038897636
7565,-133.0385028875574,168.1098703654319
8288,-131.72711635513377,163.2225561836549
9002,-130.85494262178844,158.25572281406846
9601,-130.47062512149085,153.26816868172978
10067,-130.10391135320987,148.27985270052017
10431,-129.70845718825927,143.25263135694559
10707,-129.4191065161192,138.24975516073158
10916,-129.4727353549098,133.2470966875821
11040,-129.78656827291104,128.23006793607448
11177,-129.9739377276606,123.2099446446864
11290,-130.36570884884173,118.1590399377971
11393,-130.62923496151228,113.08786207057017
11471,-130.85536549769068,108.0737430205188
11549,-131.114221793323,103.06120913633367
11631,-131.772429434233,98.05107408694738
11710,-133.7454184769622,93.35459540271518
11791,-136.07604248266694,88.86357286010445
11873,-138.62778803544643,84.4955937526463
12027,-143.44242896203434,83.0106867061848
13114,-144.94022683934344,78.23006405558482
13196,-144.07267069529018,73.24489756271146
13281,-143.24765551767297,68.2525969415272
13366,-142.46732247858705,63.294479275370406
13456,-142.2036005448075,58.18785635617388
13541,-143.0508240684054,53.212681052031826
13629,-143.90576093258602,48.267087809465465
13708,-144.7542770622494,43.27895683029169
13787,-145.59866088705223,38.290030306906544
13869,-146.50802380562482,33.31245294782127
13956,-147.94055139710446,28.519662060592623
14043,-150.25621082898186,24.069187191759852
14124,-152.56124085609605,19.610949144754386
14204,-154.84691260556463,15.096962039645348
14287,-157.0721285686003,10.598370778232265
14371,-159.2475656063731,6.075515315166285
14451,-161.38874731730846,1.491257188605232
14530,-163.46791883641112,-3.076691499878791
14618,-165.5140120579656,-7.659580997265948
14698,-167.5405144296696,-12.251216083386566
14782,-169.55493107524552,-16.848117986281977
14864,-171.55017892794518,-21.45342463640759
14945,-173.52610494607939,-26.06698189129355
15026,-175.5038294690051,-30.6799492657334
15108,-177.79829909051313,-35.156439293084304
15257,-180.60672356798898,-39.30452587440658
15589,-183.3827711489701,-43.474840522584884
16522,-185.58507405867294,-47.96375356027656
17371,-184.67159582602704,-52.909975759435326
17493,-183.35773005773098,-57.76834824684519
17605,-182.56648553158834,-62.7372525628806
17723,-181.97669123239433,-67.73542104722401
17842,-181.48078942169855,-72.71647134864969
17959,-181.1280715051547,-77.7097016085527
18079,-180.82791157779417,-82.70650235061277
18198,-180.51324747039456,-87.75688330450609
18318,-180.28114137215937,-92.75723129581957
18430,-180.0335429810455,-97.7568062079147
